Sent At,Business Name,Email Address,Template,Subject,City,Country,Business Type,Test/Real
2026-06-12 15:04:16,Samira Beauty Hair,semme_samira@yahoo.se,Create & Build,A website that showcases Samira Beauty Hair's work and fills your calendar,Gothenburg,Sweden,Hair Salon,Real
2026-06-12 15:06:30,Lana Hair,lana.frisor@hotmail.com,Create & Build,A website that showcases Lana Hair's work and fills your calendar,Gustavsberg,Sweden,Hair Salon,Real
2026-06-12 15:07:58,Raica,mina80.amiri@gmail.com,Create & Build,A website that showcases Raica's work and fills your calendar,Huddinge,Sweden,Hair Salon,Real
2026-06-12 15:12:37,Fröken Ethel,frokenethel@live.se,Create & Build,Let's build Fröken Ethel's online presence — free consultation,Helsingborg,Sweden,All Business Types,Real
2026-06-12 15:12:44,Seamen's Club,stefan.sjomanskyrkan@telia.com,Create & Build,Let's build Seamen's Club's online presence — free consultation,Helsingborg,Sweden,All Business Types,Real
2026-06-12 15:12:48,Adventureland Tattoo,adventurelandtattoo@gmail.com,Create & Build,Let's build Adventureland Tattoo's online presence — free consultation,Helsingborg,Sweden,All Business Types,Real
2026-06-12 15:12:56,Gruvtorgets Parfymeri,gruvtorgetsparfymeri@telia.com,Create & Build,Let's build Gruvtorgets Parfymeri's online presence — free consultation,Helsingborg,Sweden,All Business Types,Real
2026-06-12 15:17:48,Café Bräket,cafebraket@gmail.com,Create & Build,Let's build Café Bräket's online presence — free consultation,Gothenburg,Sweden,All Business Types,Real
2026-06-12 15:17:52,Café Cava,sprakcafeet@hotmail.com,Create & Build,Let's build Café Cava's online presence — free consultation,Gothenburg,Sweden,All Business Types,Real
2026-06-12 15:17:59,Gretas,gretas1@live.se,Create & Build,Let's build Gretas's online presence — free consultation,Gothenburg,Sweden,All Business Types,Real
2026-06-12 15:18:06,Tre Små Rum,3smarumgoteborg@gmail.com,Create & Build,Let's build Tre Små Rum's online presence — free consultation,Gothenburg,Sweden,All Business Types,Real
2026-06-12 15:18:13,Cuckoo's Nest,cuckoosnest@radissonblu.com,Create & Build,Let's build Cuckoo's Nest's online presence — free consultation,Gothenburg,Sweden,All Business Types,Real
2026-06-12 15:20:46,Falafel & Burgers,falafelburgare@gmail.com,Create & Build,Let's build Falafel & Burgers's online presence — free consultation,Malmö,Sweden,All Business Types,Real
2026-06-12 15:20:51,Design Greenhouse,lars.lindmark@jidoka.se,Create & Build,Let's build Design Greenhouse's online presence — free consultation,Malmö,Sweden,All Business Types,Real
2026-06-12 15:27:06,Solterrassen,slottsskogen@starsnstripes.se,Create & Build,Let's build Solterrassen's online presence — free consultation,Björlanda,Sweden,All Business Types,Real
2026-06-12 15:34:08,Kopparstugans B&B,kopparstugan@hotmail.com,Create & Build,Let's build Kopparstugans B&B's online presence — free consultation,Borlänge,Sweden,All Business Types,Real
2026-06-12 15:34:12,Vikaskolan,kontaktcenter@falun.se,Create & Build,Let's build Vikaskolan's online presence — free consultation,Borlänge,Sweden,All Business Types,Real
2026-06-12 15:36:56,Syltgaraget,jiraphon@anabben.com,Create & Build,Let's build Syltgaraget's online presence — free consultation,Enköping,Sweden,All Business Types,Real
2026-06-12 15:38:45,Kamincenter Eskilstuna,eskilstuna@eldabutiken.se,Create & Build,Let's build Kamincenter Eskilstuna's online presence — free consultation,Eskilstuna,Sweden,All Business Types,Real
2026-06-12 15:38:52,ReModa,re-moda@outlook.com,Create & Build,Let's build ReModa's online presence — free consultation,Eskilstuna,Sweden,All Business Types,Real
